Conformer,RMSD
1,1.0740135826396913
2,1.0732131955501771
3,1.0740303261112258
4,1.073260972340388
5,1.0740135826396913
6,1.0740135826396913
7,1.0732131955501771
8,1.073978644160587
9,1.073260972340388
10,1.0740135826396913
11,1.0740319493904311
12,1.0740135826396913
13,1.0733263679583311
14,1.0741431059625126
15,1.0733349543924058
16,1.0740319493904311
17,1.0740319493904311
18,1.073260972340388
19,1.073260972340388
20,1.073260972340388
21,1.0740319493904311
22,1.0733349543924058
23,1.073260972340388
24,1.073260972340388
25,1.0732131955501771
26,1.0740319493904311
27,1.0740544879369602
28,1.0733349543924058
29,1.073260972340388
30,1.073260972340388
31,1.0733349543924058
32,1.0733349543924058
33,1.0740319493904311
34,1.0732131955501771
35,1.0733349543924058
36,1.0740319493904311
37,1.0740319493904311
38,1.07392676715204
39,1.0733349543924058
40,1.0717350432623898
41,1.0741865933540589
42,1.0732131955501771
43,1.0740674787626674
44,1.0740319493904311
45,1.07392676715204
46,1.073260972340388
47,1.0731784040608452
48,1.0740135826396913
49,1.0733263679583311
50,1.0740319493904311
51,1.073315050158074
52,1.0733349543924058
53,1.0732354138429279
54,1.074199654145646
55,1.0740319493904311
56,1.0740544879369602
57,1.073260972340388
58,1.0733349543924058
59,1.0733349543924058
60,1.0740319493904311
61,1.0732131955501771
62,1.073260972340388
63,1.0740135826396913
64,1.0740319493904311
65,1.0740135826396913
66,1.0740808532047337
67,1.073260972340388
68,1.073315050158074
69,1.0740135826396913
70,1.0740319493904311
71,1.073260972340388
72,1.0732131955501771
73,1.0732131955501771
74,1.073260972340388
75,1.0740319493904311
76,1.0740303261112258
77,1.0732131955501771
78,1.0732131955501771
79,1.0740135826396913
80,1.073260972340388
81,1.073260972340388
82,1.0740674787626674
83,1.073315050158074
84,1.0733349543924058
85,1.0740319493904311
86,1.0716423280166438
87,1.0740135826396913
88,1.0740135826396913
89,1.0740135826396913
90,1.073260972340388
91,1.0733349543924058
92,1.0741431059625126
93,1.0716280367357878
94,1.0740135826396913
95,1.0740303261112258
96,1.0740319493904311
97,1.0740319493904311
98,1.0740319493904311
99,1.0740808532047337
100,1.0740544879369602
