Conformer,RMSD
1,2.8679360257505824
2,2.8679360257505824
3,2.867550905033257
4,2.8679360257505824
5,2.8679360257505824
6,2.867550905033257
7,2.8681537492188207
8,2.8679941025144595
9,2.8681537492188207
10,2.8681537492188207
11,2.8679941025144595
12,2.8679941025144595
13,2.8679941025144595
14,2.8679941025144595
15,2.867550905033257
16,2.8679941025144595
17,2.8681537492188207
18,2.8679941025144595
19,2.8681537492188207
20,2.8681537492188207
21,2.8679941025144595
22,2.8679360257505824
23,2.8679941025144595
24,2.8679360257505824
25,2.8679941025144595
26,2.867550905033257
27,2.867550905033257
28,2.8679360257505824
29,2.8679360257505824
30,2.867550905033257
31,2.8679360257505824
32,2.8679360257505824
33,2.8679360257505824
34,2.867550905033257
35,2.867550905033257
36,2.8679941025144595
37,2.867550905033257
38,2.8679941025144595
39,2.867550905033257
40,2.8679360257505824
41,2.8681537492188207
42,2.8679360257505824
43,2.8681537492188207
44,2.8679941025144595
45,2.867550905033257
46,2.867550905033257
47,2.8681537492188207
48,2.8681537492188207
49,2.8679360257505824
50,2.8679360257505824
51,2.8679941025144595
52,2.867550905033257
53,2.867550905033257
54,2.8679360257505824
55,2.8679360257505824
56,2.8679360257505824
57,2.8679360257505824
58,2.867550905033257
59,2.8681537492188207
60,2.8679941025144595
61,2.8679360257505824
62,2.8679360257505824
63,2.8679941025144595
64,2.8681537492188207
65,2.8679360257505824
66,2.8681537492188207
67,2.8681537492188207
68,2.867550905033257
69,2.8681537492188207
70,2.8679941025144595
71,2.867550905033257
72,2.867550905033257
73,2.8679941025144595
74,2.8679360257505824
75,2.8681537492188207
76,2.8679941025144595
77,2.8681537492188207
78,2.8681537492188207
79,2.8681537492188207
80,2.8679360257505824
81,2.8679941025144595
82,2.8679941025144595
83,2.8681537492188207
84,2.867550905033257
85,2.8681537492188207
86,2.8679360257505824
87,2.8681537492188207
88,2.8679360257505824
89,2.8679941025144595
90,2.8679941025144595
91,2.8679941025144595
92,2.8679360257505824
93,2.8679360257505824
94,2.8679941025144595
95,2.8679941025144595
96,2.8679941025144595
97,2.8679941025144595
98,2.8681537492188207
99,2.8679360257505824
100,2.8679941025144595
