Conformer,RMSD
1,1.8253451022712934
2,1.8257120027613725
3,1.8257120027613725
4,1.8253451022712934
5,1.8257082370672393
6,1.8257120027613725
7,1.825679250020778
8,1.8257120027613725
9,1.8257120027613725
10,1.825665875112541
11,1.8257120027613725
12,1.8257120027613725
13,1.8255383776173018
14,1.8255383776173018
15,1.8255029497021926
16,1.8257120027613725
17,1.8257120027613725
18,1.8257120027613725
19,1.8257120027613725
20,1.8257120027613725
21,1.8257120027613725
22,1.8257120027613725
23,1.8257120027613725
24,1.8255383776173018
25,1.8257120027613725
26,1.8257120027613725
27,1.8257120027613725
28,1.8257120027613725
29,1.8257120027613725
30,1.8255029497021926
31,1.8257120027613725
32,1.8253451022712934
33,1.8257120027613725
34,1.8257120027613725
35,1.8257120027613725
36,1.8257120027613725
37,1.8257120027613725
38,1.8257120027613725
39,1.8257120027613725
40,1.8253805909981267
41,1.8257120027613725
42,1.8253451022712934
43,1.8257120027613725
44,1.8257120027613725
45,1.8257120027613725
46,1.825679250020778
47,1.8257120027613725
48,1.8257120027613725
49,1.8257120027613725
50,1.8257120027613725
51,1.8257120027613725
52,1.825679250020778
53,1.8253451022712934
54,1.8257120027613725
55,1.8255383776173018
56,1.8257120027613725
57,1.8257120027613725
58,1.8255383776173018
59,1.825679250020778
60,1.8255383776173018
61,1.8255383776173018
62,1.8257120027613725
63,1.8257120027613725
64,1.8257120027613725
65,1.8255383776173018
66,1.8255383776173018
67,1.8253451022712934
68,1.8257120027613725
69,1.825679250020778
70,1.8253451022712934
71,1.8257120027613725
72,1.8257120027613725
73,1.8257120027613725
74,1.8257120027613725
75,1.8257120027613725
76,1.8257120027613725
77,1.8257120027613725
78,1.8257120027613725
79,1.8257120027613725
80,1.8253451022712934
81,1.825665875112541
82,1.8253451022712934
83,1.8257120027613725
84,1.8255189514675614
85,1.8257120027613725
86,1.825665875112541
87,1.8257120027613725
88,1.8257120027613725
89,1.8255383776173018
90,1.8255742318001358
91,1.8257120027613725
92,1.8257120027613725
93,1.8257120027613725
94,1.8257120027613725
95,1.8253451022712934
96,1.8257120027613725
97,1.8257120027613725
98,1.8253451022712934
99,1.8255383776173018
100,1.825665875112541
