Conformer,RMSD
1,2.796770495138205
2,2.7953159874114832
3,2.7953159874114832
4,2.7951666110969975
5,2.796770495138205
6,2.7945982863459955
7,2.80452509938564
8,2.795570445710765
9,2.7979986096341602
10,2.7958489454987188
11,2.7954010437327086
12,2.7950390849345372
13,2.795749465786729
14,2.796417670598515
15,2.7942312346537332
16,2.7951666110969975
17,2.8013539552934876
18,2.796770495138205
19,2.79716987285678
20,2.7944408369464604
21,2.7956691848108095
22,2.796390692630161
23,2.7991152761554967
24,2.795544433184091
25,2.7944152888154883
26,2.7944408369464604
27,2.7945982863459955
28,2.7979986096341602
29,2.7958489454987188
30,2.795536348929926
31,2.795708714310528
32,2.7991152761554967
33,2.7956691848108095
34,2.7958489454987188
35,2.796038686858162
36,2.7958489454987188
37,2.80010826360524
38,2.796390692630161
39,2.7944408369464604
40,2.7963857977580293
41,2.796770495138205
42,2.7944408369464604
43,2.795718837899531
44,2.7958489454987188
45,2.796770495138205
46,2.7953159874114832
47,2.7958489454987188
48,2.795528686177522
49,2.8000984588189404
50,2.79890213749037
51,2.7958489454987188
52,2.796390692630161
53,2.7958489454987188
54,2.7958489454987188
55,2.795568801204654
56,2.7956880704970164
57,2.7958489454987188
58,2.7958489454987188
59,2.7956976174071517
60,2.7958489454987188
61,2.7973638622519226
62,2.796390692630161
63,2.7950701888728413
64,2.7971308847846466
65,2.7967927123870098
66,2.7953159874114832
67,2.7994780700575146
68,2.7994957224983965
69,2.796770495138205
70,2.7981693356643604
71,2.7996668291707554
72,2.795708714310528
73,2.7958916603697777
74,2.7958489454987188
75,2.7990508288775673
76,2.796770495138205
77,2.799293392816802
78,2.795708714310528
79,2.796243431098038
80,2.7944408369464604
81,2.7956360746172257
82,2.796770495138205
83,2.7958489454987188
84,2.796390692630161
85,2.7958489454987188
86,2.796390692630161
87,2.797500186640395
88,2.7958489454987188
89,2.796770495138205
90,2.795535303486862
91,2.7958489454987188
92,2.795639983042844
93,2.7958489454987188
94,2.7958003581795707
95,2.8009446132344125
96,2.796417670598515
97,2.7958489454987188
98,2.7975021328897283
99,2.794556475758827
100,2.7943362366058513
