Conformer,RMSD
1,2.3071920250020725
2,2.289100858013007
3,2.3071920250020725
4,2.283941821437466
5,2.3071920250020725
6,2.283941821437466
7,2.289112298390216
8,2.2737106697613014
9,2.283941821437466
10,2.283941821437466
11,2.283273280545734
12,2.283941821437466
13,2.289112298390216
14,2.283273280545734
15,2.283941821437466
16,2.283941821437466
17,2.283941821437466
18,2.283941821437466
19,2.283941821437466
20,2.283941821437466
21,2.31859350889334
22,2.283941821437466
23,2.283941821437466
24,2.283941821437466
25,2.283941821437466
26,2.283941821437466
27,2.283941821437466
28,2.3071920250020725
29,2.289112298390216
30,2.283941821437466
31,2.283941821437466
32,2.3071920250020725
33,2.3071920250020725
34,2.283941821437466
35,2.289112298390216
36,2.289112298390216
37,2.283941821437466
38,2.311063161499184
39,2.3071920250020725
40,2.2883936672526977
41,2.283941821437466
42,2.283941821437466
43,2.289112298390216
44,2.289100858013007
45,2.283941821437466
46,2.3052917549478007
47,2.283941821437466
48,2.283941821437466
49,2.2836454809505704
50,2.283941821437466
51,2.3036021860521108
52,2.283941821437466
53,2.283941821437466
54,2.3071920250020725
55,2.289112298390216
56,2.3071920250020725
57,2.283941821437466
58,2.289112298390216
59,2.283941821437466
60,2.289112298390216
61,2.283941821437466
62,2.2836454809505704
63,2.3071920250020725
64,2.318651520336365
65,2.290373906664117
66,2.283941821437466
67,2.3071920250020725
68,2.289112298390216
69,2.289100858013007
70,2.311063161499184
71,2.289100858013007
72,2.283941821437466
73,2.3071920250020725
74,2.289112298390216
75,2.2940683539090325
76,2.289112298390216
77,2.311063161499184
78,2.3071920250020725
79,2.3071920250020725
80,2.2875749381401627
81,2.3071920250020725
82,2.3071920250020725
83,2.283941821437466
84,2.289100858013007
85,2.3071920250020725
86,2.289112298390216
87,2.283941821437466
88,2.283941821437466
89,2.283941821437466
90,2.283941821437466
91,2.283941821437466
92,2.283941821437466
93,2.283941821437466
94,2.3071920250020725
95,2.289112298390216
96,2.289112298390216
97,2.283941821437466
98,2.3071920250020725
99,2.289112298390216
100,2.283941821437466
