4ah7_opt_0046.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0085.pdb, 54.937, 11.429, 73.756, 76.651, 44.122, 178.534
4ah7_opt_0066.pdb, 55.639, 12.652, 72.947, 78.761, 52.924, 170.188
4ah7_opt_0027.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0083.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0093.pdb, 55.947, 13.076, 72.441, 79.204, 53.852, 170.043
4ah7_opt_0064.pdb, 55.947, 13.076, 72.434, 79.232, 54.009, 169.986
4ah7_opt_0059.pdb, 54.056, 10.110, 75.139, 75.515, 42.620, 178.067
4ah7_opt_0086.pdb, 55.947, 13.076, 72.434, 79.232, 54.009, 169.986
4ah7_opt_0077.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0021.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0012.pdb, 55.947, 13.076, 72.441, 79.204, 53.852, 170.043
4ah7_opt_0060.pdb, 55.872, 12.837, 72.685, 79.017, 52.886, 170.453
4ah7_opt_0045.pdb, 55.947, 13.076, 72.441, 79.204, 53.852, 170.043
4ah7_opt_0087.pdb, 54.056, 10.110, 75.139, 75.515, 42.620, 178.067
4ah7_opt_0014.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0053.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0069.pdb, 55.892, 13.029, 72.526, 79.116, 53.923, 169.971
4ah7_opt_0063.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0058.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0049.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0036.pdb, 55.947, 13.076, 72.434, 79.232, 54.009, 169.986
4ah7_opt_0097.pdb, 55.835, 13.039, 72.609, 78.884, 51.985, 171.275
4ah7_opt_0084.pdb, 55.947, 13.076, 72.441, 79.204, 53.852, 170.043
4ah7_opt_0071.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0004.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0006.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
4ah7_opt_0056.pdb, 52.822, 8.899, 76.438, 74.304, 43.933, 174.814
