2nuc_opt_0029.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0100.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0064.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0039.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0067.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0084.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0032.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0082.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0091.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0005.pdb, 0.968, 5.824, 15.067, 184.748
2nuc_opt_0037.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0092.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0003.pdb, 0.967, 5.841, 15.082, 184.695
2nuc_opt_0056.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0040.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0062.pdb, 0.968, 5.824, 15.050, 184.744
2nuc_opt_0004.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0085.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0096.pdb, 0.961, 5.829, 15.055, 184.767
2nuc_opt_0027.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0049.pdb, 0.968, 5.824, 15.050, 184.744
2nuc_opt_0083.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0046.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0081.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0018.pdb, 0.968, 5.824, 15.050, 184.744
2nuc_opt_0087.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0065.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0013.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0078.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0023.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0093.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0080.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0016.pdb, 0.968, 5.824, 15.067, 184.771
2nuc_opt_0030.pdb, 0.968, 5.824, 15.067, 184.771
