Conformer,RMSD
1,1.7968851106362542
2,1.7968851106362542
3,1.7968851106362542
4,1.7968851106362542
5,1.7968851106362542
6,1.7968851106362542
7,1.7968851106362542
8,1.7968851106362542
9,1.7968847503313938
10,1.7968851106362542
11,1.7968851106362542
12,1.7968851106362542
13,1.7968851106362542
14,1.7968851106362542
15,1.7968851106362542
16,1.7968851106362542
17,1.7968837329726373
18,1.7968851106362542
19,1.7968851106362542
20,1.7968851106362542
21,1.7968851106362542
22,1.7968837329726373
23,1.7968851106362542
24,1.7968851106362542
25,1.7968851106362542
26,1.7968851106362542
27,1.7968851106362542
28,1.7968851106362542
29,1.7968851106362542
30,1.7968851106362542
31,1.7968851106362542
32,1.7968851106362542
33,1.7968851106362542
34,1.7968851106362542
35,1.7968851106362542
36,1.7968847503313938
37,1.7968851106362542
38,1.7968851106362542
39,1.7968851106362542
40,1.7968851106362542
41,1.7968851106362542
42,1.7968851106362542
43,1.7968851106362542
44,1.7968837329726373
45,1.7968851106362542
46,1.7968847503313938
47,1.7968851106362542
48,1.7968851106362542
49,1.7968851106362542
50,1.7968851106362542
51,1.7968837329726373
52,1.7968837329726373
53,1.7968851106362542
54,1.7968851106362542
55,1.7968851106362542
56,1.7968851106362542
57,1.7968851106362542
58,1.7968851106362542
59,1.7968851106362542
60,1.7968851106362542
61,1.7968851106362542
62,1.7968851106362542
63,1.7968851106362542
64,1.7968851106362542
65,1.7968851106362542
66,1.7968847503313938
67,1.7968851106362542
68,1.7968847503313938
69,1.7968851106362542
70,1.7968851106362542
71,1.7968851106362542
72,1.7968851106362542
73,1.7968851106362542
74,1.796880368793628
75,1.7968851106362542
76,1.7968851106362542
77,1.7968851106362542
78,1.7968837329726373
79,1.7968851106362542
80,1.7968851106362542
81,1.7968851106362542
82,1.7968851106362542
83,1.7968851106362542
84,1.7968851106362542
85,1.7968851106362542
86,1.7968851106362542
87,1.7968851106362542
88,1.7968881394688878
89,1.7968847503313938
90,1.7968851106362542
91,1.7968851106362542
92,1.7968851106362542
93,1.7968851106362542
94,1.7968837329726373
95,1.7968837329726373
96,1.7968837329726373
97,1.7968851106362542
98,1.7968851106362542
99,1.7968851106362542
100,1.7968851106362542
