Conformer,RMSD
1,2.3235103083519717
2,2.3235103083519717
3,2.3235103083519717
4,2.3235103083519717
5,2.3235103083519717
6,2.3235103083519717
7,2.3235103083519717
8,2.3235103083519717
9,2.3235103083519717
10,2.3235103083519717
11,2.3235103083519717
12,2.3235103083519717
13,2.3235103083519717
14,2.3235103083519717
15,2.3235103083519717
16,2.3235103083519717
17,2.3235103083519717
18,2.3235103083519717
19,2.3235103083519717
20,2.3235103083519717
21,2.3235103083519717
22,2.3235103083519717
23,2.3235103083519717
24,2.3235103083519717
25,2.3235103083519717
26,2.3235103083519717
27,2.3235103083519717
28,2.3235103083519717
29,2.3235103083519717
30,2.3235103083519717
31,2.3235103083519717
32,2.3235103083519717
33,2.3235103083519717
34,2.3235103083519717
35,2.3235103083519717
36,2.3235103083519717
37,2.3235103083519717
38,2.3235103083519717
39,2.3235103083519717
40,2.3235103083519717
41,2.3235103083519717
42,2.3235103083519717
43,2.3235103083519717
44,2.3235103083519717
45,2.3235661998506707
46,2.3235103083519717
47,2.3235103083519717
48,2.3235103083519717
49,2.3235103083519717
50,2.3235103083519717
51,2.3235103083519717
52,2.3235103083519717
53,2.3235103083519717
54,2.3235103083519717
55,2.3235103083519717
56,2.3235103083519717
57,2.3235103083519717
58,2.3235103083519717
59,2.3235103083519717
60,2.3235103083519717
61,2.3235103083519717
62,2.3235103083519717
63,2.3235103083519717
64,2.3235103083519717
65,2.3235103083519717
66,2.3235103083519717
67,2.3235103083519717
68,2.3235103083519717
69,2.3235103083519717
70,2.3235103083519717
71,2.3235103083519717
72,2.3235103083519717
73,2.3235103083519717
74,2.3235103083519717
75,2.3235363485524116
76,2.3235103083519717
77,2.3235103083519717
78,2.3235103083519717
79,2.3235661998506707
80,2.3235103083519717
81,2.3235103083519717
82,2.3235103083519717
83,2.3235103083519717
84,2.3235103083519717
85,2.3235103083519717
86,2.3235103083519717
87,2.3235103083519717
88,2.3235103083519717
89,2.3235103083519717
90,2.3235103083519717
91,2.3235103083519717
92,2.3235103083519717
93,2.3235103083519717
94,2.3235103083519717
95,2.3235103083519717
96,2.3235103083519717
97,2.3235103083519717
98,2.3235103083519717
99,2.3235103083519717
100,2.3235103083519717
