Conformer,RMSD
1,2.4870857247549614
2,2.485043862574781
3,2.4870857247549614
4,2.4870857247549614
5,2.4869543310045836
6,2.4869543310045836
7,2.485043862574781
8,2.4869543310045836
9,2.485043862574781
10,2.485043862574781
11,2.4870857247549614
12,2.485043862574781
13,2.4870857247549614
14,2.4869543310045836
15,2.4869543310045836
16,2.4870857247549614
17,2.4846404916624447
18,2.485043862574781
19,2.4846404916624447
20,2.4870857247549614
21,2.485043862574781
22,2.4869543310045836
23,2.485043862574781
24,2.485043862574781
25,2.4870857247549614
26,2.4870857247549614
27,2.4846404916624447
28,2.485043862574781
29,2.4870857247549614
30,2.485043862574781
31,2.485043862574781
32,2.485043862574781
33,2.4869543310045836
34,2.4869543310045836
35,2.4870857247549614
36,2.4846404916624447
37,2.4846404916624447
38,2.485043862574781
39,2.4846404916624447
40,2.4870857247549614
41,2.4870857247549614
42,2.4870857247549614
43,2.485043862574781
44,2.4870857247549614
45,2.4870857247549614
46,2.485043862574781
47,2.485043862574781
48,2.4869543310045836
49,2.4846404916624447
50,2.4869543310045836
51,2.4869543310045836
52,2.485043862574781
53,2.4869543310045836
54,2.485043862574781
55,2.4870857247549614
56,2.4870857247549614
57,2.4869543310045836
58,2.4846404916624447
59,2.4870857247549614
60,2.470193817829379
61,2.4846404916624447
62,2.485043862574781
63,2.4870857247549614
64,2.4869543310045836
65,2.4870857247549614
66,2.4869543310045836
67,2.4870857247549614
68,2.485043862574781
69,2.4846404916624447
70,2.4869543310045836
71,2.4846404916624447
72,2.4870857247549614
73,2.4869543310045836
74,2.4870857247549614
75,2.4870857247549614
76,2.4870857247549614
77,2.4869543310045836
78,2.4870857247549614
79,2.4870857247549614
80,2.4846404916624447
81,2.4846404916624447
82,2.4869543310045836
83,2.4869543310045836
84,2.485043862574781
85,2.4870857247549614
86,2.4846404916624447
87,2.4870857247549614
88,2.4869543310045836
89,2.4869543310045836
90,2.485043862574781
91,2.4870857247549614
92,2.4870857247549614
93,2.485043862574781
94,2.4870857247549614
95,2.4869543310045836
96,2.4870857247549614
97,2.4870857247549614
98,2.4869543310045836
99,2.4846404916624447
100,2.4870857247549614
